"Time","Username","Entry"
2021-05-18 11:21:29,"npcc","Downloaded DISCOs Forecast"
2021-05-18 11:21:13,"npcc","Downloaded DISCOs Forecast"
2021-05-18 11:20:55,"npcc","Downloaded Forecast"
2021-05-18 11:20:33,"npcc","Downloaded Forecast"
2021-05-18 11:07:00,"npcc","Logged In"
2021-05-18 09:01:13,"npcc","Uploaded New Data"
2021-05-18 08:58:36,"npcc","Logged In"
2021-05-17 10:16:06,"npcc","Downloaded DISCOs Forecast"
2021-05-17 10:15:53,"npcc","Downloaded DISCOs Forecast"
2021-05-17 10:15:15,"npcc","Downloaded Forecast"
2021-05-17 10:14:35,"npcc","Downloaded Forecast"
2021-05-17 10:10:15,"npcc","Logged In"
2021-05-17 10:10:04,"npcc","Logged In"
2021-05-17 09:06:57,"npcc","Uploaded New Data"
2021-05-17 09:04:16,"npcc","Logged In"
2021-05-16 20:36:51,"npcc","Downloaded DISCOs Forecast"
2021-05-16 20:36:42,"npcc","Downloaded DISCOs Forecast"
2021-05-16 20:36:33,"npcc","Downloaded Forecast"
2021-05-16 20:36:15,"npcc","Downloaded Forecast"
2021-05-16 20:35:23,"npcc","Uploaded New Data"
2021-05-16 20:30:49,"npcc","Logged In"
2021-05-16 20:28:59,"admin","Logged In"
2021-05-16 18:18:18,"admin","Logged In"
2021-05-16 14:41:16,"admin","Logged In"
2021-05-15 11:23:27,"admin","Uploaded New Data"
2021-05-15 11:21:49,"admin","Downloaded Historic Data"
2021-05-15 11:19:30,"admin","Logged In"
2021-05-15 09:44:57,"npcc","Downloaded DISCOs Forecast"
2021-05-15 09:44:50,"npcc","Downloaded DISCOs Forecast"
2021-05-15 09:44:42,"npcc","Downloaded Forecast"
2021-05-15 09:44:33,"npcc","Downloaded Forecast"
2021-05-15 09:44:17,"npcc","Uploaded New Data"
2021-05-15 09:40:25,"npcc","Logged In"
2021-05-14 15:26:43,"admin","Downloaded Historic Data"
2021-05-14 15:24:30,"admin","Logged In"
2021-05-14 09:21:06,"npcc","Downloaded Performance Data"
2021-05-14 09:14:53,"npcc","Downloaded DISCOs Forecast"
2021-05-14 09:14:41,"npcc","Downloaded DISCOs Forecast"
2021-05-14 09:14:32,"npcc","Downloaded Forecast"
2021-05-14 09:14:23,"npcc","Downloaded Forecast"
2021-05-14 09:14:09,"npcc","Uploaded New Data"
2021-05-14 09:09:12,"npcc","Logged In"
2021-05-14 00:49:11,"admin","Logged In"
2021-05-14 00:08:27,"admin","Logged In"
2021-05-13 16:27:18,"admin","Downloaded Historic Data"
2021-05-13 16:25:31,"admin","Logged In"
2021-05-13 10:41:26,"npcc","Downloaded DISCOs Forecast"
2021-05-13 10:41:17,"npcc","Downloaded DISCOs Forecast"
2021-05-13 10:41:08,"npcc","Downloaded Forecast"
2021-05-13 10:40:57,"npcc","Downloaded Forecast"
2021-05-13 10:40:15,"npcc","Uploaded New Data"
2021-05-13 10:35:53,"npcc","Logged In"
2021-05-12 17:15:23,"admin","Logged In"
2021-05-12 16:30:14,"admin","Logged In"
2021-05-12 16:30:03,"npcc","Logged In"
2021-05-12 16:26:12,"admin","Logged In"
2021-05-12 16:09:26,"admin","Logged In"
2021-05-12 15:54:50,"npcc","Downloaded Historic Data"
2021-05-12 15:50:51,"npcc","Logged In"
2021-05-12 15:44:54,"npcc","Downloaded DISCOs Forecast"
