"Time","LESCO","MEPCO","FESCO","QESCO","PESCO","GEPCO","HESCO","SEPCO","IESCO","TESCO"
"2021-03-17 00:00:00",1815.57066917359,1624.14725362088,1294.57323206516,440.205651718457,871.954559769326,827.832251257017,575.605196850564,336.654887938317,748.709881599375,103.013898275081
"2021-03-17 01:00:00",1760.02909968124,1572.18216231641,1252.81645878144,429.912067557751,854.843375153584,792.696624819398,593.536597677798,315.778421612351,723.553747895089,106.565085778912
"2021-03-17 02:00:00",1732.58052590994,1541.78686789873,1241.13534067068,412.577389791686,861.999978437086,784.585623400969,602.624865469987,309.057619174117,709.642640826165,107.823574657401
"2021-03-17 03:00:00",1716.81063441581,1539.23027858646,1240.23666932167,412.535934790234,872.818200639432,767.720196145361,567.016180961602,271.048048850744,702.391324304896,101.350176964992
"2021-03-17 04:00:00",1720.7692354026,1542.04250790475,1248.54870711923,412.435237847144,800.728469144418,783.915954141985,516.888803781485,235.235264471988,714.872811353468,96.5934101593145
"2021-03-17 05:00:00",1759.81371388705,1602.00968771187,1286.71896350273,412.657136186984,957.028924156606,828.795491483626,467.228435580973,232.067854294673,775.668664222237,103.222197431532
"2021-03-17 06:00:00",1786.66631541651,1728.63596999685,1313.19286108167,415.491365962708,1003.54890521345,891.017576292832,392.32267689689,238.796867217011,836.924025102568,112.249383943943
"2021-03-17 07:00:00",1827.44682589781,1722.84681617489,1353.31715083469,412.819576650022,989.190498721058,963.772045653345,441.520441838981,220.006391994278,896.14265216952,96.38748296353
"2021-03-17 08:00:00",1878.47128841187,1797.78388934882,1450.18018355743,418.874420040528,1103.0200081876,1081.86286921955,436.058491572902,269.150194340357,1000.03551754245,107.403780872501
"2021-03-17 09:00:00",1874.2773407039,1884.83298827064,179.202532729621,585.087902602787,964.515050498276,1203.72100366623,552.12097179234,323.643036830543,1038.52043774259,24.827156720524
"2021-03-17 10:00:00",1844.6372412233,1922.51895889887,179.202532729621,585.087902602787,964.515050498276,1268.3584636465,536.70403082651,291.673319203333,1070.44030196528,24.827156720524
"2021-03-17 11:00:00",1858.86129197819,1924.47398789141,179.202532729621,585.087902602787,964.515050498276,1273.29480635771,568.923238597579,278.315566093258,1065.24017965623,24.827156720524
"2021-03-17 12:00:00",1917.04252465948,1962.21190939253,179.202532729621,585.087902602787,964.515050498276,1246.81551994663,537.408827213206,286.503292217056,1025.38135211744,24.827156720524
"2021-03-17 13:00:00",1893.78415432223,1952.25603718244,475.124041164385,97.7695448123235,2006.9693547576,1189.30925274634,485.515599631682,309.540680675315,986.392807033486,24.827156720524
"2021-03-17 14:00:00",1878.75182872247,1936.10810692895,1589.55985999931,515.768888012789,970.055566750744,1116.42748567462,520.825987448283,336.165932684235,973.196384077991,96.1130284757285
"2021-03-17 15:00:00",1878.0787290295,1921.98120336414,1583.99069602279,515.51765941329,995.406098394877,1161.24495454296,563.586227123359,312.955827344388,957.018643857371,92.7752689976439
"2021-03-17 16:00:00",1924.43815401771,1905.38288457884,1542.26950933352,467.470454156109,944.910060113988,1158.66284280863,528.974164209844,279.915223594099,958.797698092882,90.4477503119856
